"county","year","round"
"Sequatchie",2018,"3.73"
"Sevier",2015,"7.68"
"Sevier",2016,"7.09"
"Sevier",2017,"5.42"
"Sevier",2018,"4.93"
"Shelby",2015,"7.93"
"Shelby",2016,"6.94"
"Shelby",2017,"5.91"
"Shelby",2018,"5.81"
"Smith",2015,"5.18"
"Smith",2016,"4.36"
"Smith",2017,"3.55"
"Smith",2018,"3.22"
"Stewart",2015,"5.25"
"Stewart",2016,"4.45"
"Stewart",2017,"3.68"
"Stewart",2018,"3.59"
"Sullivan",2015,"7.91"
"Sullivan",2016,"6.88"
"Sullivan",2017,"5.22"
"Sullivan",2018,"4.76"
"Sumner",2015,"5.78"
"Sumner",2016,"4.61"
"Sumner",2017,"3.57"
"Sumner",2018,"3.14"
"Tipton",2015,"8.28"
"Tipton",2016,"6.70"
"Tipton",2017,"5.18"
"Tipton",2018,"4.93"
"Trousdale",2015,"6.44"
"Trousdale",2016,"5.63"
"Trousdale",2017,"4.57"
"Trousdale",2018,"4.13"
"Unicoi",2015,"4.83"
"Unicoi",2016,"3.96"
"Unicoi",2017,"3.09"
"Unicoi",2018,"2.73"
"Union",2015,"5.87"
"Union",2016,"4.94"
"Union",2017,"3.99"
"Union",2018,"3.76"
"Van Buren",2015,"7.23"
"Van Buren",2016,"6.19"
"Van Buren",2017,"4.76"
"Van Buren",2018,"4.24"
"Warren",2015,"8.86"
"Warren",2016,"6.55"
"Warren",2017,"5.16"
"Warren",2018,"4.95"
"Washington",2015,"7.77"
"Washington",2016,"6.30"
"Washington",2017,"5.28"
"Washington",2018,"4.70"
"Wayne",2015,"5.51"
"Wayne",2016,"4.68"
"Wayne",2017,"3.68"
"Wayne",2018,"3.41"
"Weakley",2015,"6.42"
"Weakley",2016,"5.22"
"Weakley",2017,"4.16"
"Weakley",2018,"3.84"
"White",2015,"7.07"
"White",2016,"5.91"
"White",2017,"4.67"
"White",2018,"4.36"
"Williamson",2015,"4.39"
"Williamson",2016,"3.60"
"Williamson",2017,"2.82"
"Williamson",2018,"2.63"
"Wilson",2015,"7.88"
"Wilson",2016,"6.86"
"Wilson",2017,"5.25"
"Wilson",2018,"4.76"
